CIDADE;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;7
NITEROI;-22.8832;-43.1034;Grande Niterói;7
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;7
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;7
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;7
JAPERI;-22.6431;-43.6533;Baixada Fluminense;7
MAGE;-22.6556;-43.0402;Baixada Fluminense;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;7
MANGARATIBA;-22.9599;-44.0409;Costa Verde;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;7
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;7
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;6
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;6
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;6
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;6
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;6
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;6
CABO FRIO;-22.8894;-42.0286;Região dos Lagos;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;6
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;6
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;6
JAPERI;-22.6431;-43.6533;Baixada Fluminense;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;6
MAGE;-22.6556;-43.0402;Baixada Fluminense;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;6
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;6
MAGE;-22.6556;-43.0402;Baixada Fluminense;6
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
NITEROI;-22.8832;-43.1034;Grande Niterói;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;5
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;5
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;5
